Time,Num Task Set,Num Tasks,Time running,Cpu utilization
674,200,15000,14468.7,0.00202607
675,200,15000,14503.7,0.00202607
676,200,15000,14397.5,0.00202607
677,200,15000,14387.7,0.00202607
678,200,15000,14443,0.00202607
679,200,15000,14498,0.00202607
680,200,15000,14386.8,0.00202607
681,200,15000,14350.1,0.00202607
682,200,15000,14392.4,0.00202607
683,200,15000,14406.1,0.00202607
684,200,15000,14385.5,0.00202607
685,200,15000,14351.6,0.00202607
686,200,15000,14382.5,0.00202607
687,200,15000,14379.6,0.00202607
688,200,15000,14335.6,0.00202607
689,200,15000,14444,0.00202607
690,200,15000,14570.3,0.00202607
691,200,15000,14657.4,0.00202607
692,200,15000,14562.5,0.00202607
693,200,15000,14575.5,0.00202607
694,200,15000,14680.9,0.00202607
695,200,15000,14645.6,0.00202607
696,200,15000,15392.4,0.00202607
697,200,15000,14540.9,0.00202607
698,200,15000,14435.1,0.00202607
699,200,15000,14512.3,0.00202607
700,200,15000,14372.9,0.00202607
701,200,15000,14458.6,0.00202607
702,200,15000,14399,0.00202607
703,200,15000,14483.2,0.00202607
704,200,15000,14360.8,0.00202607
705,200,15000,14458.1,0.00202607
706,200,15000,14393.9,0.00202607
707,200,15000,14375.5,0.00202607
708,200,15000,14352.7,0.00202607
709,200,15000,14408.3,0.00202607
710,200,15000,15172.3,0.00202607
711,200,15000,14350.3,0.00202607
712,200,15000,14326.5,0.00202607
713,200,15000,14356.2,0.00202607
714,200,15000,14591.9,0.00202607
715,200,15000,14560.9,0.00202607
716,200,15000,14601.3,0.00202607
717,200,15000,14586.6,0.00202607
718,200,15000,14588.7,0.00202607
719,200,15000,14537.5,0.00202607
720,200,15000,15382.7,0.00202607
721,200,15000,14371.3,0.00202607
722,200,15000,14405.9,0.00202607
723,200,15000,14406,0.00202607
724,200,15000,14411.8,0.00202607
725,200,15000,14390.3,0.00202607
726,200,15000,14393.1,0.00202607
727,200,15000,14356.1,0.00202607
728,200,15000,14408.6,0.00202607
729,200,15000,14399,0.00202607
730,200,15000,14388.4,0.00202607
731,200,15000,14442.8,0.00202607
732,200,15000,14400.2,0.00202607
733,200,15000,15347.9,0.00202607
734,200,15000,14702,0.00202607
735,200,15000,14366.2,0.00202607
736,200,15000,14610.5,0.00202607
737,200,15000,14619.3,0.00202607
738,200,15000,14614.5,0.00202607
739,200,15000,14665.9,0.00202607
740,200,15000,14760,0.00202607
741,200,15000,14525.5,0.00202607
742,200,15000,14458.7,0.00202607
743,200,15000,14557.1,0.00202607
744,200,15000,14501.7,0.00202607
745,200,15000,14476.8,0.00202607
746,200,15000,14436.3,0.00202607
747,200,15000,15759,0.00202607
748,200,15000,14570.4,0.00202607
749,200,15000,14512.2,0.00202607
750,200,15000,14438.9,0.00202607
751,200,15000,14443.5,0.00202607
752,200,15000,14454.4,0.00202607
753,200,15000,14439.9,0.00202607
754,200,15000,14433.5,0.00202607
755,200,15000,14413.4,0.00202607
756,200,15000,14516.7,0.00202607
757,200,15000,14732.5,0.00202607
758,200,15000,14721.1,0.00202607
759,200,15000,14746.3,0.00202607
760,200,15000,14775.9,0.00202607
761,200,15000,15255.2,0.00202607
762,200,15000,14736.9,0.00202607
763,200,15000,14492.8,0.00202607
764,200,15000,14572.2,0.00202607
765,200,15000,14499.9,0.00202607
766,200,15000,14505.6,0.00202607
767,200,15000,14510.6,0.00202607
768,200,15000,14436.8,0.00202607
769,200,15000,14463.6,0.00202607
770,200,15000,14432.3,0.00202607
771,200,15000,14485.2,0.00202607
772,200,15000,14491.7,0.00202607
773,200,15000,14466.4,0.00202607
